LeagueId;Round;MatchDate;PredictionDate;Home;Away;HG;AG;Status
USA_USLChampionship;24;2026-09-17;2026-07-25;Birmingham Legion;New Mexico;4;4;Finale
USA_MLSNextPro_EasternConference_NortheastDivision;23;2026-09-08;2026-07-31;Toronto FC 2;Columbus Crew 2;4;2;Finale
USA_MLSNextPro_WesternConference_CentralDivision;22;2026-08-03;2026-07-31;St. Louis City 2;Real Monarchs;3;0;Finale
Iceland_Division_2;30;2026-08-09;2026-08-08;Kormakur/Hvot;Throttur Vogar;2;0;Finale
Kazakhstan_PremierLeague;31;2026-08-25;2026-08-09;Tobol;Kaisar;3;2;Finale
Russia_FNL;6;2026-08-16;2026-08-14;Sochi;Ulyanovsk;1;0;Finale
Armenia_PremierLeague;4;2026-09-02;2026-08-16;Pyunik;Sardarapat;1;0;Finale
Finland_Kolmonen_Southern_Group2;16;2026-08-20;2026-08-20;Atlantis FC/2;ToTe;2;2;Finale
Slovenia_2SNL;3;2026-09-16;2026-08-20;Triglav;Brezice;4;0;Finale
