Engine;LeagueId;Home;Away;Reason;HomePlayed;AwayPlayed
v25;USA_MLSNextPro_WesternConference_PacificDivision;San Jose Earthquakes II;Sporting Kansas City II;Storico risultati non disponibile;;
v25;Bhutan_PremierLeague;Transport United;BFF Academy U19;Storico risultati non disponibile;;
v25;Bolivia_DivisionProfesional;Real Oruro;Universitario de Vinto;Storico risultati non disponibile;;
v25;Bolivia_DivisionProfesional;Real Potosi;Academia del Balompie;Storico risultati non disponibile;;
v25;Estonia_Esiliiga;Maardu;Flora U21;Storico risultati non disponibile;;
v25;Kazakhstan_FirstLeague;Aktobe 2;Khan Tengri;Storico risultati non disponibile;;
v25;Australia_NPLQueensland;Brisbane Roar U23;Rochedale;Storico risultati non disponibile;;
v25;Australia_NPLQueensland;Peninsula;Wynnum Wolves;Storico risultati non disponibile;;
v25;Australia_NPLTasmania;Glenorchy Knights;Kingborough Lions;Storico risultati non disponibile;;
v25;Australia_VictoriaPremierLeague2;Essendon Royals SC;Box Hill;Storico risultati non disponibile;;
v25;Australia_VictoriaPremierLeague;Brunswick Juventus;Western Utd. U21;Storico risultati non disponibile;;
v25;Australia_VictoriaPremierLeague;Langwarrin;Melbourne Victory U21;Storico risultati non disponibile;;
v25;Finland_Kakkonen_GroupB;Abo;Ilves 2;Storico risultati non disponibile;;
v25;Iceland_Division_1;Aegir;Kopavogur;Storico risultati non disponibile;;
v25;Australia_NPLACT;Canberra Croatia;Brindabella;Storico risultati non disponibile;;
v25;Australia_NPLACT;Canberra Olympic;Canberra White Eagles;Storico risultati non disponibile;;
v25;Australia_NPLACT;Tigers FC;Queanbeyan City;Storico risultati non disponibile;;
v25;Australia_NPLACT;Tuggeranong Utd;Belconnen Utd.;Storico risultati non disponibile;;
v25;Australia_NPLNorthernNSW;Cooks Hill United;Charlestown Azzurri;Storico risultati non disponibile;;
v25;Australia_NPLNorthernNSW;Maitland;Adamstown Rosebud;Storico risultati non disponibile;;
v25;Australia_NPLNorthernNSW;Weston Bears;Lambton J.;Storico risultati non disponibile;;
v25;Australia_NPLQueenslandU23;Moreton City Excelsior U23;Magic United U23;Storico risultati non disponibile;;
v25;Australia_NPLQueenslandU23;Peninsula U23;Wynnum Wolves U23;Storico risultati non disponibile;;
v25;Australia_NPLQueensland;Moreton City Excelsior;Magic United;Storico risultati non disponibile;;
v25;Australia_NPLTasmania;Clarence Zebras;Launceston;Storico risultati non disponibile;;
v25;Australia_NPLTasmania;South Hobart;Ulverstone;Storico risultati non disponibile;;
v25;Australia_NPLWesternAustralia;Olympic Kingsway;Perth RedStar;Storico risultati non disponibile;;
v25;Australia_NPL_NSW_U20;APIA Leichhardt U20;Sydney FC U20;Storico risultati non disponibile;;
v25;Australia_NPL_NSW_U20;Manly Utd U20;Sutherland U20;Storico risultati non disponibile;;
v25;Australia_NPL_NSW_U20;NWS Spirit U20;St George Saints U20;Storico risultati non disponibile;;
v25;Australia_NPL_NSW_U20;SD Raiders U20;Blacktown City U20;Storico risultati non disponibile;;
v25;Australia_NPL_NSW_U20;St. George City U20;UNSW U20;Storico risultati non disponibile;;
v25;Australia_NPL_NSW_U20;Sydney Olympic U20;Wollongong Wolves U20;Storico risultati non disponibile;;
v25;Australia_NSWLeagueOne;Canterbury Bankstown;Prospect United;Storico risultati non disponibile;;
v25;Australia_NorthernNSWStateLeague;Newcastle Croatia;Lake Macquarie;Storico risultati non disponibile;;
v25;Australia_QueenslandPremierLeague;Broadbeach Utd.;Caboolture;Storico risultati non disponibile;;
v25;Australia_QueenslandPremierLeague;Logan Lightning;Ipswich;Storico risultati non disponibile;;
v25;Australia_QueenslandPremierLeague;Redlands;Capalaba;Storico risultati non disponibile;;
v25;Australia_TasmaniaNorthernChampionship;Devonport U21;Ulverstone U21;Storico risultati non disponibile;;
v25;Australia_TasmaniaNorthernChampionship;Launceston United U21;Burnie Utd.;Storico risultati non disponibile;;
v25;Australia_TasmaniaNorthernChampionship;Northern Rangers;Launceston U21;Storico risultati non disponibile;;
v25;Australia_TasmaniaNorthernChampionship;Somerset;Riverside Olympic U21;Storico risultati non disponibile;;
v25;Australia_TasmaniaSouthernChampionship;Clarence Zebras U21;Taroona;Storico risultati non disponibile;;
v25;Australia_TasmaniaSouthernChampionship;Glenorchy Knights U21;Olympia Warriors;Storico risultati non disponibile;;
v25;Australia_TasmaniaSouthernChampionship;Hobart Utd.;Hobart City;Storico risultati non disponibile;;
v25;Australia_TasmaniaSouthernChampionship;New Town;South Hobart U21;Storico risultati non disponibile;;
v25;Australia_VictoriaPremierLeague;Eltham Redbacks;North Geelong;Storico risultati non disponibile;;
v25;Australia_WAStateLeague;Joondalup;Mandurah City;Storico risultati non disponibile;;
v25;Australia_WAStateLeague;Quinns;Nedlands;Storico risultati non disponibile;;
v25;Australia_WAStateLeague;Subiaco;Murdoch Melville;Storico risultati non disponibile;;
v25;Belarus_PershayaLiga;BATE 2;Lida;Storico risultati non disponibile;;
v25;Belarus_PershayaLiga;Din. Minsk 2;Slutsk;Storico risultati non disponibile;;
v25;Bolivia_DivisionProfesional;Real Oruro;GV San Jose;Storico risultati non disponibile;;
v25;Estonia_EsiliigaB;Tabasalu;Tulevik;Storico risultati non disponibile;;
v25;Estonia_Esiliiga;Levadia U21;Tallinna Kalev;Storico risultati non disponibile;;
v25;Finland_Kakkonen_GroupC;Huima / Urho;Hercules;Storico risultati non disponibile;;
v25;Finland_Ykkonen;JJK Jyvaskyla;KuPS Akatemia;Storico risultati non disponibile;;
v25;Iceland_Division_1;Volsungur;Afturelding;Storico risultati non disponibile;;
v25;Iceland_Division_2;Selfoss;Hviti;Storico risultati non disponibile;;
v25;Estonia_Esiliiga;Nomme Utd U21;Flora U21;Storico risultati non disponibile;;
v25;Estonia_EsiliigaB;Johvi Phoenix;Parnu JK Vaprus U21;Storico risultati non disponibile;;
v25;Finland_Kakkonen_GroupC;Narpes Kraft;VPS 2;Storico risultati non disponibile;;
v25;Finland_Kakkonen_GroupC;Vaajakoski;Jaro 2;Storico risultati non disponibile;;
v25;Australia_NPLQueensland;Gold Coast Knights;Brisbane City;Storico risultati non disponibile;;
v25;Estonia_EsiliigaB;Levadia U19;Tallinna Kalev U21;Storico risultati non disponibile;;
v25;Iceland_BestaDeildKarla;KR Reykjavik;Vestmannaeyjar;Storico risultati non disponibile;;
v25;Australia_NPLQueenslandU23;Gold Coast Knights U23;Brisbane City U23;Storico risultati non disponibile;;
v25;Australia_NPLQueenslandU23;QLD State Team U17;Rochedale U23;Storico risultati non disponibile;;
v25;Estonia_EsiliigaB;Tammeka U21;Narva U21;Storico risultati non disponibile;;
v25;Iceland_Division_2;Kari;KFA;Storico risultati non disponibile;;
v25;Australia_NPLQueenslandU23;Queensland Lions U23;Eastern Suburbs U23;Storico risultati non disponibile;;
v25;Iceland_BestaDeildKarla;Fram;Thor Akureyri;Storico risultati non disponibile;;
v25;Australia_NSWLeagueOne;Central Coast Mariners U23;Blacktown Spartans;Storico risultati non disponibile;;
v25;Australia_NPLQueenslandU23;Gold Coast Blaze U23;Olympic FC U23;Storico risultati non disponibile;;
v25;Estonia_EsiliigaB;Tartu Kalev;Legion;Storico risultati non disponibile;;
v25;Iceland_Division_2;Dalvik/Reynir;Fjolnir;Storico risultati non disponibile;;
v25;Iceland_Division_2;Magni;Haukar;Storico risultati non disponibile;;
v25;Finland_Kakkonen_GroupC;SJK Akatemia 2;TP-47;Storico risultati non disponibile;;
v25;Australia_NorthernNSWStateLeague;Toronto Awaba Stags;Wallsend Red Devils;Storico risultati non disponibile;;
v25;Sweden_Allsvenskan;Brommapojkarna;Sirius;Storico risultati non disponibile;;
v25;Iceland_Division_2;Kormakur/Hvot;Olafsvik;Storico risultati non disponibile;;
v25;Australia_NPLNorthernNSW;Broadmeadow;Newcastle Olympic;Storico risultati non disponibile;;
v25;USA_MLSNextPro_EasternConference_NortheastDivision;Chicago Fire II;New York Red Bulls II;Storico risultati non disponibile;;
v25;Australia_NPLQueensland;Gold Coast;Olympic FC;Storico risultati non disponibile;;
v25;Australia_NPL_NSW_U20;Sydney Utd U20;Rockdale Ilinden U20;Storico risultati non disponibile;;
v25;Norway_Eliteserien;Brann;Start;Storico risultati non disponibile;;
v25;Finland_Kakkonen_GroupA;Lahden Reipas;HIFK;Storico risultati non disponibile;;
v25;Australia_NPLQueensland;Queensland Lions;Eastern Suburbs;Storico risultati non disponibile;;
v25;USA_MLSNextPro_EasternConference_NortheastDivision;Philadelphia II;Huntsville;Storico risultati non disponibile;;
v25;Sweden_Allsvenskan;Malmo FF;Göteborg;Storico risultati non disponibile;;
v25;Somalia_NationalLeague;Raadsan;Heegan;Storico risultati non disponibile;;
v25;Iceland_BestaDeildKarla;Breidablik;Keflavik;Storico risultati non disponibile;;
v25;USA_MLSNextPro_EasternConference_NortheastDivision;Connecticut FC;Toronto FC II;Storico risultati non disponibile;;
v25;Australia_VictoriaPremierLeague;Bulleen;Brunswick City;Storico risultati non disponibile;;
v25;Australia_NPLQueenslandU23;Moreton City Excelsior U23;QLD State Team U17;Storico risultati non disponibile;;
v25;Iceland_Division_1;Kopavogur;IR Reykjavik;Storico risultati non disponibile;;
v25;Finland_Kakkonen_GroupC;GBK Kokkola;Narpes Kraft;Storico risultati non disponibile;;
v25;Australia_NPLNorthernNSW;Charlestown Azzurri;Weston Bears;Storico risultati non disponibile;;
v25;Bolivia_DivisionProfesional;Real Oruro;Always Ready;Storico risultati non disponibile;;
v25;USA_MLSNextPro_WesternConference_PacificDivision;San Jose Earthquakes II;North Texas;Meno di 5 gare precedenti;13.0;3.0
v25;Finland_Kolmonen_Southern_Group2;LPS Helsinki;VJS Vantaa B;Meno di 5 gare precedenti;0.0;0.0
v25;Finland_Kolmonen_Western_Group2;NOPS;FC Haka Juniors;Meno di 5 gare precedenti;11.0;0.0
v25;Finland_Kolmonen_Western_Group2;LeKi Futis;Saaksjarven Loiske;Meno di 5 gare precedenti;0.0;0.0
v25;USA_MLSNextPro_EasternConference_NortheastDivision;New York Red Bulls II;Crown Legacy;Meno di 5 gare precedenti;14.0;1.0
v25;Mexico_LigaMX_Apertura;Tijuana;Leon;Meno di 5 gare precedenti;1.0;1.0
v25;Finland_Kolmonen_Western_Group2;TP-49;Ylojarvi United;Meno di 5 gare precedenti;11.0;0.0
v25;Finland_Kolmonen_Western_Group2;Tampere Utd II;Lasten;Meno di 5 gare precedenti;0.0;0.0
v25;Germany_Oberliga_Bayern_Sud;Geretsried;Pipinsried;Meno di 5 gare precedenti;1.0;1.0
v25;Mexico_LigaMX_Apertura;Santos Laguna;Atlas;Meno di 5 gare precedenti;1.0;1.0
v25;USA_MLSNextPro_EasternConference_SoutheastDivision;Atlanta United 2;New York City II;Meno di 5 gare precedenti;14.0;1.0
v25;Mexico_LigaMX_Apertura;Necaxa;Monterrey;Meno di 5 gare precedenti;1.0;1.0
v25;Germany_Oberliga_Bayern_Sud;Monaco 1860 II;Schalding;Meno di 5 gare precedenti;2.0;2.0
v25;Germany_Oberliga_Bayern_Sud;Heimstetten;Geretsried;Meno di 5 gare precedenti;2.0;2.0
v25;Poland_Division1;Lechia;Warta Poznan;Meno di 5 gare precedenti;1.0;1.0
v25;Germany_Oberliga_Bayern_Sud;FC Schwaig;Gundelfingen;Meno di 5 gare precedenti;2.0;2.0
v25;Switzerland_ChallengeLeague;Wil;Xamax;Meno di 5 gare precedenti;1.0;1.0
v25;Switzerland_ChallengeLeague;Kriens;Winterthur;Meno di 5 gare precedenti;1.0;1.0
v25;Slovakia_2Liga;Pohronie;Povazska Bystrica;Meno di 5 gare precedenti;1.0;1.0
v25;Germany_Regionalliga_Nordost;Tasmania Berlin;Aue;Meno di 5 gare precedenti;1.0;1.0
v25;USA_MLSNextPro_EasternConference_SoutheastDivision;Chicago Fire II;Cincinnati 2;Meno di 5 gare precedenti;16.0;3.0
v25;USA_MLSNextPro_EasternConference_SoutheastDivision;Connecticut FC;Orlando City B;Meno di 5 gare precedenti;2.0;17.0
v25;USA_MLSNextPro_WesternConference_CentralDivision;Minnesota 2;San Jose Earthquakes II;Meno di 5 gare precedenti;15.0;3.0
v25;USA_MLSNextPro_WesternConference_CentralDivision;Houston Dynamo 2;Real Monarchs;Meno di 5 gare precedenti;14.0;2.0
v25;USA_MLSNextPro_WesternConference_CentralDivision;North Texas;Tacoma Defiance;Meno di 5 gare precedenti;12.0;4.0
v25;USA_MLSNextPro_EasternConference_SoutheastDivision;Chicago Fire II;Toronto FC II;Meno di 5 gare precedenti;17.0;3.0
v25;Finland_Kolmonen_Western_Group3;Larsmo Bollklubb;Virkiä;Meno di 5 gare precedenti;14.0;1.0
v25;Finland_Kolmonen_Eastern_Group3;Mikkelin Palloilijat 2;KoPa;Meno di 5 gare precedenti;3.0;14.0
v26;USA_MLSNextPro_WesternConference_CentralDivision;Minnesota 2;San Jose Earthquakes II;Meno di 5 gare precedenti;15.0;3.0
v26;USA_MLSNextPro_WesternConference_CentralDivision;Houston Dynamo 2;Real Monarchs;Meno di 5 gare precedenti;14.0;2.0
v26;USA_MLSNextPro_WesternConference_CentralDivision;North Texas;Tacoma Defiance;Meno di 5 gare precedenti;12.0;4.0
v26;USA_MLSNextPro_EasternConference_SoutheastDivision;Chicago Fire II;Toronto FC II;Meno di 5 gare precedenti;17.0;3.0
v26;Finland_Kolmonen_Western_Group3;Larsmo Bollklubb;Virkiä;Meno di 5 gare precedenti;14.0;1.0
v26;Finland_Kolmonen_Eastern_Group3;Mikkelin Palloilijat 2;KoPa;Meno di 5 gare precedenti;3.0;14.0
