LeagueId;Round;Home;Away;Match;Score;Band;RankingGapComponent;HomeAttackComponent;AwayDefenseWeaknessComponent;HomeLast10OverComponent;AwayLast10OverComponent;Reason
USA_USLLeagueTwo_Mountain_2026;20260630;Colorado Storm;CISA;Colorado Storm - CISA;83.7;ALTA;19.43;20.0;20.0;8.29;7.62;Engine v1.3 | Squadra alta: Colorado Storm (2ª), squadra bassa: CISA (6ª) | GF alta: 2.50/gara | GS bassa: 3.82/gara | Profilo ultime 10: 0.83 | Real over index: 0.76
USA_USLLeagueTwo_Northwest_2026;20260629;Portland Bangers;FC Olympia;Portland Bangers - FC Olympia;81.43;ALTA;15.38;15.0;20.0;9.05;8.0;Engine v1.3 | Squadra alta: Portland Bangers (3ª), squadra bassa: FC Olympia (6ª) | GF alta: 1.80/gara | GS bassa: 2.50/gara | Profilo ultime 10: 0.91 | Real over index: 0.80
USA_USLLeagueTwo_Ranger_2026;20260629;Fort Worth Vaqueros;McKinney Chupacabras;Fort Worth Vaqueros - McKinney Chupacabras;80.79;ALTA;22.0;17.59;20.0;6.61;6.67;Engine v1.3 | Squadra alta: McKinney Chupacabras (1ª), squadra bassa: Fort Worth Vaqueros (6ª) | GF alta: 2.11/gara | GS bassa: 3.44/gara | Profilo ultime 10: 0.66 | Real over index: 0.67
USA_USLLeagueTwo_Northwest_2026;20260629;Snohomish United;Tacoma Stars;Snohomish United - Tacoma Stars;80.1;ALTA;16.5;20.0;16.36;8.43;7.5;Engine v1.3 | Squadra alta: Snohomish United (2ª), squadra bassa: Tacoma Stars (4ª) | GF alta: 3.00/gara | GS bassa: 1.80/gara | Profilo ultime 10: 0.84 | Real over index: 0.75
USA_USLLeagueTwo_MidAtlantic_2026;20260629;Reading;Eagle FC;Reading - Eagle FC;80.0;ALTA;16.25;17.5;20.0;7.83;8.5;Engine v1.3 | Squadra alta: Reading (4ª), squadra bassa: Eagle FC (9ª) | GF alta: 2.10/gara | GS bassa: 3.00/gara | Profilo ultime 10: 0.78 | Real over index: 0.85
USA_USLLeagueTwo_Chesapeake_2026;20260629;Virginia Marauders;Annapolis Blues;Virginia Marauders - Annapolis Blues;78.98;ALTA;14.86;20.0;20.0;7.29;7.5;Engine v1.3 | Squadra alta: Annapolis Blues (5ª), squadra bassa: Virginia Marauders (10ª) | GF alta: 2.45/gara | GS bassa: 3.10/gara | Profilo ultime 10: 0.73 | Real over index: 0.75
USA_USLLeagueTwo_Chesapeake_2026;20260629;Patuxent;Hill City;Patuxent - Hill City;78.86;ALTA;15.31;20.0;20.0;7.3;7.5;Engine v1.3 | Squadra alta: Hill City (8ª), squadra bassa: Patuxent (11ª) | GF alta: 2.64/gara | GS bassa: 4.20/gara | Profilo ultime 10: 0.73 | Real over index: 0.75
USA_USLLeagueTwo_GreatLakes_2026;20260629;Kalamazoo FC;Oakland County;Kalamazoo FC - Oakland County;77.75;ALTA;9.54;20.0;19.32;8.84;8.26;Engine v1.3 | Squadra alta: Oakland County (1ª), squadra bassa: Kalamazoo FC (4ª) | GF alta: 2.67/gara | GS bassa: 2.12/gara | Profilo ultime 10: 0.88 | Real over index: 0.83
USA_USLLeagueTwo_Northeast_2026;20260629;Boston Bolts;Western Mass Pioneers;Boston Bolts - Western Mass Pioneers;77.64;ALTA;12.0;16.67;20.0;8.47;6.5;Engine v1.3 | Squadra alta: Western Mass Pioneers (3ª), squadra bassa: Boston Bolts (7ª) | GF alta: 2.00/gara | GS bassa: 2.20/gara | Profilo ultime 10: 0.85 | Real over index: 0.65
USA_USLLeagueTwo_MidSouth_2026;20260629;Memphis FC;Mississippi Brilla;Memphis FC - Mississippi Brilla;71.15;MEDIA-ALTA;7.33;16.67;18.18;8.44;6.53;Engine v1.3 | Squadra alta: Mississippi Brilla (4ª), squadra bassa: Memphis FC (6ª) | GF alta: 2.00/gara | GS bassa: 2.00/gara | Profilo ultime 10: 0.84 | Real over index: 0.65
