PredictionDate;MatchDate;LeagueId;Round;Home;Away;Score;Band;MatchStatus;HG;AG;Goals;Over25;BTTS;Reason;RankingGapScore;HomeAttackScore;AwayAttackScore;HomeDefenseWeaknessScore;AwayDefenseWeaknessScore;HomeLast10OverScore;AwayLast10OverScore;HomeVenueOverScore;AwayVenueOverScore;BTTSProfileScore;AlgorithmVersion;HomeSourceLeagueId;AwaySourceLeagueId;CompetitionGroup
2026-09-15;2026-09-15;Germany_Regionalliga_Nord;10;Drochtersen/Assel;Emden;76.0;ALTA;SCHEDULED;;;;;;VG1 BASE: MinBTTSFull=0.75, MinGFL5=2.60, PPGGapFull=0.38, DeltaBTTSL5=-0.07, MinOverFull=0.88;0.71;13.0;13.0;5.0;10.0;10.5;10.5;7.5;10.0;10.5;1.0.0;Germany_Regionalliga_Nord;Germany_Regionalliga_Nord;
2026-09-15;2026-09-15;Armenia_FirstLeague;9;Mika;Urartu 2;74.99;MEDIA;SCHEDULED;;;;;;VG1 NO-SIGNAL: MinBTTSFull=0.67, MinGFL5=1.80, PPGGapFull=0.40, DeltaBTTSL5=+0.07, MinOverFull=0.80;0.8;11.82;8.86;8.0;10.0;9.6;10.0;10.0;6.67;10.0;1.0.0;Armenia_FirstLeague;Armenia_FirstLeague;seconda divisione armena
2026-09-15;2026-09-15;Austria_Oberosterreich;9;Vocklamarkt;Ostermiething;74.99;MEDIA;SCHEDULED;;;;;;VG1 NO-SIGNAL: MinBTTSFull=0.67, MinGFL5=1.20, PPGGapFull=1.13, DeltaBTTSL5=+0.07, MinOverFull=0.80;2.4;5.91;9.45;8.0;7.27;12.0;9.6;10.0;10.0;8.8;1.0.0;Austria_Oberosterreich;Austria_Oberosterreich;
2026-09-15;2026-09-15;Austria_Steiermark;4;Kindberg Murzhofen;TUS Bad Waltersdorf;74.99;MEDIA;SCHEDULED;;;;;;VG1 NO-SIGNAL: MinBTTSFull=0.50, MinGFL5=1.50, PPGGapFull=0.00, DeltaBTTSL5=+0.00, MinOverFull=1.00;0.4;11.82;8.86;8.0;10.0;12.0;12.0;10.0;10.0;9.0;1.0.0;Austria_Steiermark;Austria_Steiermark;16 clubs, double round robin.
2026-09-15;2026-09-15;Austria_Steiermark;4;SV Wildon;SV Schermann Rorhrach;74.99;MEDIA;SCHEDULED;;;;;;VG1 NO-SIGNAL: MinBTTSFull=0.50, MinGFL5=3.00, PPGGapFull=1.00, DeltaBTTSL5=+0.00, MinOverFull=1.00;2.0;13.0;13.0;1.82;9.09;12.0;12.0;10.0;10.0;9.0;1.0.0;Austria_Steiermark;Austria_Steiermark;16 clubs, double round robin.
2026-09-15;2026-09-15;Estonia_EsiliigaB;30;Narva U21;Tammeka U21;74.99;MEDIA;SCHEDULED;;;;;;VG1 NO-SIGNAL: MinBTTSFull=0.48, MinGFL5=1.80, PPGGapFull=0.35, DeltaBTTSL5=-0.06, MinOverFull=0.74;3.33;13.0;13.0;4.58;9.62;7.2;10.8;7.86;8.18;7.97;1.0.0;Estonia_EsiliigaB;Estonia_EsiliigaB;
2026-09-15;2026-09-15;Estonia_EsiliigaB;30;Levadia U19;Tulevik;74.99;MEDIA;SCHEDULED;;;;;;VG1 NO-SIGNAL: MinBTTSFull=0.52, MinGFL5=2.20, PPGGapFull=0.51, DeltaBTTSL5=-0.02, MinOverFull=0.67;3.33;13.0;13.0;6.33;9.27;8.4;8.4;6.43;9.17;7.5;1.0.0;Estonia_EsiliigaB;Estonia_EsiliigaB;
2026-09-15;2026-09-15;Wales_CymruNorth;8;Penrhyncoch;Bala Town;74.99;MEDIA;SCHEDULED;;;;;;VG1 NO-SIGNAL: MinBTTSFull=0.40, MinGFL5=0.60, PPGGapFull=1.60, DeltaBTTSL5=+0.00, MinOverFull=0.80;5.6;3.55;10.64;8.0;8.18;12.0;9.6;10.0;10.0;7.2;1.0.0;Wales_CymruNorth;Wales_CymruNorth;Wales_CymruTier2
2026-09-15;2026-09-15;Germany_3Liga;6;Duisburg;Havelse;74.99;MEDIA;SCHEDULED;;;;;;VG1 NO-SIGNAL: MinBTTSFull=0.60, MinGFL5=1.60, PPGGapFull=1.60, DeltaBTTSL5=+0.00, MinOverFull=0.80;5.05;13.0;9.45;3.64;9.09;12.0;9.6;10.0;5.0;8.4;1.0.0;Germany_3Liga;Germany_3Liga;
2026-09-15;2026-09-15;Germany_3Liga;6;Wurzburger Kickers;Aachen;74.99;MEDIA;SCHEDULED;;;;;;VG1 NO-SIGNAL: MinBTTSFull=0.60, MinGFL5=1.80, PPGGapFull=0.80, DeltaBTTSL5=+0.00, MinOverFull=0.80;4.11;10.64;11.82;8.0;6.36;12.0;9.6;10.0;5.0;7.2;1.0.0;Germany_3Liga;Germany_3Liga;
2026-09-15;2026-09-15;Germany_Regionalliga_Bayern;10;Bayreuth;Aubstadt;74.99;MEDIA;SCHEDULED;;;;;;VG1 NO-SIGNAL: MinBTTSFull=0.62, MinGFL5=1.20, PPGGapFull=0.27, DeltaBTTSL5=+0.03, MinOverFull=0.71;1.41;8.86;11.82;6.36;8.44;9.0;8.57;10.0;5.0;8.04;1.0.0;Germany_Regionalliga_Bayern;Germany_Regionalliga_Bayern;
2026-09-15;2026-09-15;Germany_Regionalliga_Bayern;10;Schweinfurt;Illertissen;74.99;MEDIA;SCHEDULED;;;;;;VG1 NO-SIGNAL: MinBTTSFull=0.38, MinGFL5=1.40, PPGGapFull=0.38, DeltaBTTSL5=-0.06, MinOverFull=0.62;1.76;10.34;10.34;7.73;5.68;7.5;9.0;10.0;10.0;6.75;1.0.0;Germany_Regionalliga_Bayern;Germany_Regionalliga_Bayern;
2026-09-15;2026-09-15;England_Championship;8;Middlesbrough;Millwall;74.99;MEDIA;SCHEDULED;;;;;;VG1 NO-SIGNAL: MinBTTSFull=0.40, MinGFL5=1.60, PPGGapFull=1.40, DeltaBTTSL5=+0.00, MinOverFull=0.60;3.13;13.0;9.45;4.36;10.0;7.2;9.6;10.0;6.67;7.2;1.0.0;England_Championship;England_Championship;
2026-09-15;2026-09-15;Iceland_BestaDeildKarla;29;Fram;Breidablik;74.99;MEDIA;SCHEDULED;;;;;;VG1 NO-SIGNAL: MinBTTSFull=0.68, MinGFL5=1.60, PPGGapFull=0.68, DeltaBTTSL5=+0.17, MinOverFull=0.68;1.09;13.0;11.55;6.94;8.47;9.6;7.2;9.09;6.36;8.73;1.0.0;Iceland_BestaDeildKarla;Iceland_BestaDeildKarla;
2026-09-15;2026-09-15;Netherlands_Eredivisie;8;Ajax;Willem 2;74.99;MEDIA;SCHEDULED;;;;;;VG1 NO-SIGNAL: MinBTTSFull=0.60, MinGFL5=1.00, PPGGapFull=1.60, DeltaBTTSL5=+0.00, MinOverFull=0.80;4.24;13.0;5.91;4.36;10.0;9.6;9.6;10.0;5.0;8.4;1.0.0;Netherlands_Eredivisie;Netherlands_Eredivisie;
2026-09-15;2026-09-15;Switzerland_SuperLeague;9;Grasshoppers;Sion;74.99;MEDIA;SCHEDULED;;;;;;VG1 NO-SIGNAL: MinBTTSFull=0.71, MinGFL5=1.60, PPGGapFull=1.00, DeltaBTTSL5=-0.01, MinOverFull=0.57;2.73;8.44;13.0;7.27;7.14;6.86;12.0;6.67;10.0;8.57;1.0.0;Switzerland_SuperLeague;Switzerland_SuperLeague;
2026-09-15;2026-09-15;Finland_Kolmonen_Western_Group2;22;FC Haka j.;Fish United;74.99;MEDIA;SCHEDULED;;;;;;VG1 NO-SIGNAL: MinBTTSFull=0.63, MinGFL5=1.00, PPGGapFull=0.53, DeltaBTTSL5=+0.17, MinOverFull=0.84;0.55;11.82;7.15;8.0;10.0;12.0;10.8;10.0;7.78;7.58;1.0.0;Finland_Kolmonen_Western_Group2;Finland_Kolmonen_Western_Group2;
2026-09-15;2026-09-15;Germany_3Liga;6;Meppen;Viktoria Koln;74.9;MEDIA;SCHEDULED;;;;;;VG1 NO-SIGNAL: MinBTTSFull=0.40, MinGFL5=1.40, PPGGapFull=0.60, DeltaBTTSL5=+0.00, MinOverFull=0.80;3.16;8.27;13.0;8.0;7.27;9.6;9.6;5.0;5.0;6.0;1.0.0;Germany_3Liga;Germany_3Liga;
2026-09-15;2026-09-15;Germany_Regionalliga_Bayern;10;Memmingen;Burghausen;74.37;MEDIA;SCHEDULED;;;;;;VG1 NO-SIGNAL: MinBTTSFull=0.38, MinGFL5=0.60, PPGGapFull=0.88, DeltaBTTSL5=+0.04, MinOverFull=0.50;3.18;8.12;13.0;2.73;9.09;6.0;10.5;5.0;10.0;6.75;1.0.0;Germany_Regionalliga_Bayern;Germany_Regionalliga_Bayern;
2026-09-15;2026-09-15;Scotland_Premiership;8;Hibernian;Kilmarnock;73.99;MEDIA;SCHEDULED;;;;;;VG1 NO-SIGNAL: MinBTTSFull=0.40, MinGFL5=0.80, PPGGapFull=1.00, DeltaBTTSL5=+0.00, MinOverFull=0.60;1.85;8.27;4.73;6.55;10.0;12.0;7.2;10.0;5.0;8.4;1.0.0;Scotland_Premiership;Scotland_Premiership;
