Country;League;Season;Round;Date;Home;Away;HG;AG;Notes
USA;USL League Two - Chesapeake Division;2026;1;2026-05-10;Virginia Beach;Lionsbridge;1;1;
USA;USL League Two - Chesapeake Division;2026;2;2026-05-11;Loudoun 2;Christos;4;5;
USA;USL League Two - Chesapeake Division;2026;2;2026-05-11;Northern Virginia;Virginia Marauders;3;0;
USA;USL League Two - Chesapeake Division;2026;3;2026-05-17;Christos;Lionsbridge;2;1;
USA;USL League Two - Chesapeake Division;2026;3;2026-05-17;Hill City;Loudoun 2;4;1;
USA;USL League Two - Chesapeake Division;2026;4;2026-05-18;Charlottesville Blues;Annapolis Blues;0;1;
USA;USL League Two - Chesapeake Division;2026;4;2026-05-18;Northern Virginia;Virginia Beach;2;2;
USA;USL League Two - Chesapeake Division;2026;5;2026-05-20;Virginia Beach;Christos;4;0;
USA;USL League Two - Chesapeake Division;2026;6;2026-05-21;Lionsbridge;Virginia Marauders;3;0;
USA;USL League Two - Chesapeake Division;2026;6;2026-05-21;Patuxent;Charlottesville Blues;1;3;
USA;USL League Two - Chesapeake Division;2026;7;2026-05-23;Northern Virginia;Loudoun 2;3;3;
USA;USL League Two - Chesapeake Division;2026;8;2026-05-24;Charlottesville Blues;Virginia Beach;0;2;
USA;USL League Two - Chesapeake Division;2026;8;2026-05-24;Hill City;Patuxent;6;1;
USA;USL League Two - Chesapeake Division;2026;9;2026-05-28;Bethesda SC;Lionsbridge;1;6;
USA;USL League Two - Chesapeake Division;2026;9;2026-05-28;Hill City;Charlottesville Blues;0;1;
USA;USL League Two - Chesapeake Division;2026;10;2026-05-29;Patuxent;Annapolis Blues;0;4;
USA;USL League Two - Chesapeake Division;2026;11;2026-05-31;Annapolis Blues;Virginia Beach;0;2;
USA;USL League Two - Chesapeake Division;2026;11;2026-05-31;Bethesda SC;Northern Virginia;4;0;
USA;USL League Two - Chesapeake Division;2026;11;2026-05-31;Lionsbridge;Christos;5;1;
USA;USL League Two - Chesapeake Division;2026;11;2026-05-31;Loudoun 2;Charlottesville Blues;0;3;
USA;USL League Two - Chesapeake Division;2026;12;2026-06-01;Virginia Marauders;Hill City;1;5;
USA;USL League Two - Chesapeake Division;2026;13;2026-06-04;Annapolis Blues;Lionsbridge;0;2;
USA;USL League Two - Chesapeake Division;2026;13;2026-06-04;Christos;Charlottesville Blues;2;2;
USA;USL League Two - Chesapeake Division;2026;13;2026-06-04;Hill City;Bethesda SC;3;0;
USA;USL League Two - Chesapeake Division;2026;13;2026-06-04;Patuxent;Northern Virginia;0;5;
USA;USL League Two - Chesapeake Division;2026;13;2026-06-04;Virginia Marauders;Loudoun 2;0;2;
USA;USL League Two - Chesapeake Division;2026;14;2026-06-07;Annapolis Blues;Patuxent;7;0;
USA;USL League Two - Chesapeake Division;2026;14;2026-06-07;Bethesda SC;Virginia Beach;1;3;
USA;USL League Two - Chesapeake Division;2026;14;2026-06-07;Charlottesville Blues;Northern Virginia;1;1;
USA;USL League Two - Chesapeake Division;2026;15;2026-06-08;Loudoun 2;Lionsbridge;1;4;
USA;USL League Two - Chesapeake Division;2026;15;2026-06-08;Virginia Marauders;Christos;1;3;
USA;USL League Two - Chesapeake Division;2026;16;2026-06-10;Northern Virginia;Charlottesville Blues;0;1;
USA;USL League Two - Chesapeake Division;2026;17;2026-06-11;Christos;Bethesda SC;2;2;
USA;USL League Two - Chesapeake Division;2026;17;2026-06-11;Loudoun 2;Annapolis Blues;2;1;
USA;USL League Two - Chesapeake Division;2026;17;2026-06-11;Virginia Beach;Hill City;5;3;
USA;USL League Two - Chesapeake Division;2026;17;2026-06-11;Virginia Marauders;Patuxent;1;0;
USA;USL League Two - Chesapeake Division;2026;18;2026-06-14;Bethesda SC;Loudoun 2;3;1;
USA;USL League Two - Chesapeake Division;2026;18;2026-06-14;Charlottesville Blues;Hill City;2;0;
USA;USL League Two - Chesapeake Division;2026;18;2026-06-14;Christos;Patuxent;2;0;
USA;USL League Two - Chesapeake Division;2026;18;2026-06-14;Lionsbridge;Northern Virginia;5;4;
USA;USL League Two - Chesapeake Division;2026;18;2026-06-14;Virginia Beach;Virginia Marauders;3;1;
USA;USL League Two - Chesapeake Division;2026;19;2026-06-16;Christos;Annapolis Blues;1;0;
USA;USL League Two - Chesapeake Division;2026;20;2026-06-18;Annapolis Blues;Hill City;5;2;
USA;USL League Two - Chesapeake Division;2026;20;2026-06-18;Christos;Northern Virginia;1;5;
USA;USL League Two - Chesapeake Division;2026;20;2026-06-18;Lionsbridge;Patuxent;6;0;
USA;USL League Two - Chesapeake Division;2026;20;2026-06-18;Virginia Beach;Bethesda SC;2;3;
USA;USL League Two - Chesapeake Division;2026;20;2026-06-18;Virginia Marauders;Charlottesville Blues;0;4;
USA;USL League Two - Chesapeake Division;2026;21;2026-06-20;Loudoun 2;Bethesda SC;3;2;
USA;USL League Two - Chesapeake Division;2026;22;2026-06-21;Charlottesville Blues;Virginia Marauders;4;0;
USA;USL League Two - Chesapeake Division;2026;22;2026-06-21;Hill City;Christos;1;2;
USA;USL League Two - Chesapeake Division;2026;22;2026-06-21;Lionsbridge;Virginia Beach;2;0;
USA;USL League Two - Chesapeake Division;2026;23;2026-06-22;Annapolis Blues;Northern Virginia;0;3;
USA;USL League Two - Chesapeake Division;2026;24;2026-06-25;Bethesda SC;Annapolis Blues;3;3;
USA;USL League Two - Chesapeake Division;2026;24;2026-06-25;Charlottesville Blues;Lionsbridge;0;3;
USA;USL League Two - Chesapeake Division;2026;24;2026-06-25;Northern Virginia;Hill City;3;4;
USA;USL League Two - Chesapeake Division;2026;24;2026-06-25;Patuxent;Loudoun 2;1;7;
