Country;League;Season;Round;Date;Home;Away;HG;AG;Notes
USA;USL League Two - Metropolitan Division;2026;1;2026-05-17;Staten Island ASC;Ironbound SC;2;3;
USA;USL League Two - Metropolitan Division;2026;2;2026-05-20;New Jersey Copa;Long Island;0;2;
USA;USL League Two - Metropolitan Division;2026;3;2026-05-21;Cedar;Manhattan;2;1;
USA;USL League Two - Metropolitan Division;2026;3;2026-05-21;Morris Elite;Ironbound SC;0;2;
USA;USL League Two - Metropolitan Division;2026;4;2026-05-22;Motown 2;Westchester Flames;6;0;
USA;USL League Two - Metropolitan Division;2026;5;2026-05-24;Morris Elite;Hudson Valley;2;1;
USA;USL League Two - Metropolitan Division;2026;6;2026-05-25;Staten Island ASC;Motown 2;1;3;
USA;USL League Two - Metropolitan Division;2026;7;2026-05-28;Hudson Valley;Ironbound SC;2;3;
USA;USL League Two - Metropolitan Division;2026;7;2026-05-28;Long Island;Staten Island ASC;3;0;
USA;USL League Two - Metropolitan Division;2026;7;2026-05-28;Manhattan;Westchester Flames;6;2;
USA;USL League Two - Metropolitan Division;2026;8;2026-05-30;New Jersey Copa;Hudson Valley;2;4;
USA;USL League Two - Metropolitan Division;2026;9;2026-05-31;Ironbound SC;Long Island;2;2;
USA;USL League Two - Metropolitan Division;2026;9;2026-05-31;Morris Elite;Manhattan;0;4;
USA;USL League Two - Metropolitan Division;2026;9;2026-05-31;Motown 2;Cedar;5;3;
USA;USL League Two - Metropolitan Division;2026;10;2026-06-01;Westchester Flames;Staten Island ASC;1;3;
USA;USL League Two - Metropolitan Division;2026;11;2026-06-02;New Jersey Copa;Cedar;2;2;
USA;USL League Two - Metropolitan Division;2026;12;2026-06-04;Long Island;Hudson Valley;1;3;
USA;USL League Two - Metropolitan Division;2026;12;2026-06-04;Morris Elite;Motown 2;0;4;
USA;USL League Two - Metropolitan Division;2026;12;2026-06-04;Staten Island ASC;Manhattan;2;2;
USA;USL League Two - Metropolitan Division;2026;13;2026-06-07;Cedar;Staten Island ASC;1;0;
USA;USL League Two - Metropolitan Division;2026;13;2026-06-07;Manhattan;Motown 2;1;3;
USA;USL League Two - Metropolitan Division;2026;13;2026-06-07;Westchester Flames;New Jersey Copa;2;4;
USA;USL League Two - Metropolitan Division;2026;14;2026-06-08;Long Island;Morris Elite;2;1;
USA;USL League Two - Metropolitan Division;2026;15;2026-06-11;Cedar;Westchester Flames;2;0;
USA;USL League Two - Metropolitan Division;2026;15;2026-06-11;Ironbound SC;New Jersey Copa;4;1;
USA;USL League Two - Metropolitan Division;2026;15;2026-06-11;Manhattan;Morris Elite;5;1;
USA;USL League Two - Metropolitan Division;2026;16;2026-06-13;Long Island;Motown 2;0;0;
USA;USL League Two - Metropolitan Division;2026;17;2026-06-14;Hudson Valley;Staten Island ASC;3;2;
USA;USL League Two - Metropolitan Division;2026;17;2026-06-14;Ironbound SC;Cedar;1;0;
USA;USL League Two - Metropolitan Division;2026;17;2026-06-14;Westchester Flames;Manhattan;5;0;
USA;USL League Two - Metropolitan Division;2026;18;2026-06-16;New Jersey Copa;Staten Island ASC;2;1;
USA;USL League Two - Metropolitan Division;2026;19;2026-06-17;Manhattan;Long Island;0;4;
USA;USL League Two - Metropolitan Division;2026;19;2026-06-17;Motown 2;Hudson Valley;3;1;
USA;USL League Two - Metropolitan Division;2026;20;2026-06-18;Westchester Flames;Ironbound SC;3;3;
USA;USL League Two - Metropolitan Division;2026;21;2026-06-20;Motown 2;New Jersey Copa;3;0;
USA;USL League Two - Metropolitan Division;2026;22;2026-06-21;Cedar;Morris Elite;2;0;
USA;USL League Two - Metropolitan Division;2026;22;2026-06-21;Long Island;Westchester Flames;4;0;
USA;USL League Two - Metropolitan Division;2026;22;2026-06-21;Manhattan;Hudson Valley;3;3;
USA;USL League Two - Metropolitan Division;2026;23;2026-06-25;Ironbound SC;Motown 2;1;0;
USA;USL League Two - Metropolitan Division;2026;23;2026-06-25;Morris Elite;New Jersey Copa;2;0;
USA;USL League Two - Metropolitan Division;2026;23;2026-06-25;Westchester Flames;Hudson Valley;0;3;
