Country;League;Season;Round;Date;Home;Away;HG;AG;Notes
Finland;Ykkosliiga;2026;1;2026-04-03;PK-35;Ekenas;4;2;
Finland;Ykkosliiga;2026;1;2026-04-06;Jippo;JaPS;0;0;
Finland;Ykkosliiga;2026;1;2026-04-06;Klubi 04;KaPa;1;2;
Finland;Ykkosliiga;2026;1;2026-04-06;SJK Akatemia;Mikkeli;1;0;
Finland;Ykkosliiga;2026;2;2026-04-10;JaPS;Klubi 04;1;0;
Finland;Ykkosliiga;2026;2;2026-04-10;KTP;Mikkeli;1;0;
Finland;Ykkosliiga;2026;2;2026-04-10;KaPa;SJK Akatemia;2;2;
Finland;Ykkosliiga;2026;2;2026-04-11;Ekenas;Jippo;1;2;
Finland;Ykkosliiga;2026;2;2026-04-11;PK-35;Haka;0;0;
Finland;Ykkosliiga;2026;3;2026-04-18;Jippo;KTP;0;0;
Finland;Ykkosliiga;2026;3;2026-04-19;Ekenas;Klubi 04;2;1;
Finland;Ykkosliiga;2026;3;2026-04-19;Mikkeli;KaPa;0;1;
Finland;Ykkosliiga;2026;3;2026-04-19;SJK Akatemia;PK-35;0;1;
Finland;Ykkosliiga;2026;3;2026-04-21;Haka;JaPS;5;0;
Finland;Ykkosliiga;2026;4;2026-04-24;Klubi 04;Mikkeli;0;1;
Finland;Ykkosliiga;2026;4;2026-04-24;PK-35;KTP;0;1;
Finland;Ykkosliiga;2026;4;2026-04-25;Haka;KaPa;2;2;
Finland;Ykkosliiga;2026;4;2026-04-25;JaPS;Ekenas;3;0;
Finland;Ykkosliiga;2026;4;2026-04-25;Jippo;SJK Akatemia;1;0;
Finland;Ykkosliiga;2026;5;2026-05-02;JaPS;PK-35;1;0;
Finland;Ykkosliiga;2026;5;2026-05-02;KaPa;Jippo;0;2;
Finland;Ykkosliiga;2026;5;2026-05-02;Klubi 04;SJK Akatemia;1;1;
Finland;Ykkosliiga;2026;5;2026-05-02;Mikkeli;Haka;1;0;
Finland;Ykkosliiga;2026;5;2026-05-03;Ekenas;KTP;5;2;
Finland;Ykkosliiga;2026;6;2026-05-07;PK-35;Mikkeli;3;1;
Finland;Ykkosliiga;2026;6;2026-05-08;Haka;Ekenas;4;3;
Finland;Ykkosliiga;2026;6;2026-05-09;Jippo;Klubi 04;1;1;
Finland;Ykkosliiga;2026;6;2026-05-09;KTP;KaPa;2;1;
Finland;Ykkosliiga;2026;6;2026-05-09;SJK Akatemia;JaPS;0;2;
Finland;Ykkosliiga;2026;7;2026-05-16;JaPS;KTP;0;1;
Finland;Ykkosliiga;2026;7;2026-05-17;Ekenas;SJK Akatemia;3;0;
Finland;Ykkosliiga;2026;7;2026-05-17;KaPa;PK-35;0;0;
Finland;Ykkosliiga;2026;7;2026-05-17;Mikkeli;Jippo;1;3;
Finland;Ykkosliiga;2026;7;2026-05-18;Haka;Klubi 04;1;1;
Finland;Ykkosliiga;2026;8;2026-05-22;JaPS;Mikkeli;0;2;
Finland;Ykkosliiga;2026;8;2026-05-22;SJK Akatemia;Haka;0;1;
Finland;Ykkosliiga;2026;8;2026-05-23;Ekenas;KaPa;1;0;
Finland;Ykkosliiga;2026;8;2026-05-23;Jippo;PK-35;0;1;
Finland;Ykkosliiga;2026;8;2026-05-23;Klubi 04;KTP;0;1;
Finland;Ykkosliiga;2026;9;2026-05-27;Klubi 04;PK-35;0;1;
Finland;Ykkosliiga;2026;9;2026-05-29;Haka;Jippo;2;1;
Finland;Ykkosliiga;2026;9;2026-05-29;KTP;SJK Akatemia;1;0;
Finland;Ykkosliiga;2026;9;2026-05-29;KaPa;JaPS;2;1;
Finland;Ykkosliiga;2026;9;2026-05-31;Mikkeli;Ekenas;1;0;
Finland;Ykkosliiga;2026;10;2026-05-31;PK-35;Klubi 04;1;1;
Finland;Ykkosliiga;2026;10;2026-06-05;KaPa;KTP;1;2;
Finland;Ykkosliiga;2026;10;2026-06-06;Ekenas;Mikkeli;1;0;
Finland;Ykkosliiga;2026;10;2026-06-09;SJK Akatemia;Jippo;0;0;
Finland;Ykkosliiga;2026;11;2026-06-08;KTP;Haka;0;2;
Finland;Ykkosliiga;2026;11;2026-06-12;KTP;Ekenas;5;1;
Finland;Ykkosliiga;2026;11;2026-06-13;Jippo;KaPa;3;0;
Finland;Ykkosliiga;2026;11;2026-06-14;Mikkeli;Klubi 04;2;2;
Finland;Ykkosliiga;2026;12;2026-06-27;Haka;KTP;0;2;
Finland;Ykkosliiga;2026;12;2026-06-27;Jippo;Ekenas;1;1;
