Country;League;Round;MatchDate;Home;Away;HG;AG;Notes
USA;USL League Two - Ranger Division;1;2026-05-10;Fort Worth Vaqueros;Denton Diablos;0;4;
USA;USL League Two - Ranger Division;1;2026-06-30;Hill Country Lobos;Lonestar;3;5;
USA;USL League Two - Ranger Division;2;2026-05-17;Fort Worth Vaqueros;Lubbock Matadors;0;1;
USA;USL League Two - Ranger Division;2;2026-05-17;McKinney Chupacabras;Denton Diablos;2;1;
USA;USL League Two - Ranger Division;3;2026-05-20;Fort Worth Vaqueros;Texoma;0;7;
USA;USL League Two - Ranger Division;4;2026-05-23;Lubbock Matadors;Fort Worth Vaqueros;4;0;
USA;USL League Two - Ranger Division;5;2026-05-24;Denton Diablos;West Texas;1;0;
USA;USL League Two - Ranger Division;6;2026-05-27;Texoma;McKinney Chupacabras;1;2;
USA;USL League Two - Ranger Division;7;2026-05-31;McKinney Chupacabras;Fort Worth Vaqueros;1;0;
USA;USL League Two - Ranger Division;7;2026-05-31;Texoma;Denton Diablos;2;0;
USA;USL League Two - Ranger Division;7;2026-05-31;West Texas;Lubbock Matadors;0;0;
USA;USL League Two - Ranger Division;8;2026-06-03;Texoma;Fort Worth Vaqueros;4;1;
USA;USL League Two - Ranger Division;9;2026-06-04;Lubbock Matadors;Denton Diablos;1;2;
USA;USL League Two - Ranger Division;10;2026-06-07;Texoma;Lubbock Matadors;2;1;
USA;USL League Two - Ranger Division;11;2026-06-11;McKinney Chupacabras;Lubbock Matadors;1;0;
USA;USL League Two - Ranger Division;11;2026-06-11;West Texas;Texoma;2;1;
USA;USL League Two - Ranger Division;12;2026-06-14;Denton Diablos;Texoma;2;1;
USA;USL League Two - Ranger Division;12;2026-06-14;Lubbock Matadors;Fort Worth Vaqueros;1;0;
USA;USL League Two - Ranger Division;12;2026-06-14;West Texas;McKinney Chupacabras;2;2;
USA;USL League Two - Ranger Division;13;2026-06-18;Fort Worth Vaqueros;McKinney Chupacabras;1;7;
USA;USL League Two - Ranger Division;14;2026-06-19;Texoma;West Texas;1;0;
USA;USL League Two - Ranger Division;15;2026-06-21;Denton Diablos;Lubbock Matadors;2;1;
USA;USL League Two - Ranger Division;15;2026-06-21;McKinney Chupacabras;West Texas;2;1;
USA;USL League Two - Ranger Division;16;2026-06-23;Denton Diablos;McKinney Chupacabras;3;1;
USA;USL League Two - Ranger Division;17;2026-06-25;Lubbock Matadors;McKinney Chupacabras;1;1;
USA;USL League Two - Ranger Division;17;2026-06-25;West Texas;Fort Worth Vaqueros;2;1;
USA;USL League Two - Ranger Division;18;2026-06-28;Lubbock Matadors;Texoma;1;2;
USA;USL League Two - Ranger Division;19;2026-06-28;West Texas;Denton Diablos;5;5;
USA;USL League Two - Ranger Division;20;2026-07-02;Denton Diablos;West Texas;3;2;
USA;USL League Two - Ranger Division;21;2026-07-04;Fort Worth Vaqueros;West Texas;0;6;
USA;USL League Two - Ranger Division;21;2026-07-08;Texoma;Denton Diablos;3;2;
USA;USL League Two - Ranger Division;21;2026-07-09;West Texas;Lubbock Matadors;1;0;
USA;USL League Two - Ranger Division;22;2026-07-12;Denton Diablos;Fort Worth Vaqueros;1;0;
USA;USL League Two - Ranger Division;22;2026-07-12;Lubbock Matadors;West Texas;0;2;
USA;USL League Two - Ranger Division;22;2026-07-12;McKinney Chupacabras;Texoma;1;2;
USA;USL League Two - Ranger Division;23;2026-07-01;Fort Worth Vaqueros;McKinney Chupacabras;1;3;
