Country;League;Season;Round;Date;Home;Away;HG;AG;Notes
Faroe Islands;1. Deild;2026;1;2026-03-07;Fuglafjordur;HB Torshavn 2;4;0;
Faroe Islands;1. Deild;2026;1;2026-03-07;Hoyvik;Vikingur 2;1;4;
Faroe Islands;1. Deild;2026;1;2026-03-07;TB Tvoroyri;Runavik 2;1;1;
Faroe Islands;1. Deild;2026;2;2026-03-12;Vikingur 2;Sandur;3;2;
Faroe Islands;1. Deild;2026;2;2026-03-14;Runavik 2;Hoyvik;3;4;
Faroe Islands;1. Deild;2026;2;2026-03-14;Streymur 2;TB Tvoroyri;2;3;
Faroe Islands;1. Deild;2026;2;2026-03-15;HB Torshavn 2;B36 Torshavn 2;1;1;
Faroe Islands;1. Deild;2026;3;2026-03-19;Streymur 2;Fuglafjordur;6;0;
Faroe Islands;1. Deild;2026;3;2026-03-21;FC Suduroy;Vikingur 2;2;2;
Faroe Islands;1. Deild;2026;3;2026-03-21;HB Torshavn 2;Runavik 2;1;1;
Faroe Islands;1. Deild;2026;3;2026-05-14;Hoyvik;TB Tvoroyri;2;5;
Faroe Islands;1. Deild;2026;4;2026-04-04;Sandur;Streymur 2;3;1;
Faroe Islands;1. Deild;2026;4;2026-04-04;Vikingur 2;B36 Torshavn 2;3;0;
Faroe Islands;1. Deild;2026;4;2026-04-29;Runavik 2;FC Suduroy;1;2;
Faroe Islands;1. Deild;2026;4;2026-06-24;TB Tvoroyri;HB Torshavn 2;1;2;
Faroe Islands;1. Deild;2026;5;2026-04-11;B36 Torshavn 2;TB Tvoroyri;1;0;
Faroe Islands;1. Deild;2026;5;2026-04-11;FC Suduroy;HB Torshavn 2;2;1;
Faroe Islands;1. Deild;2026;5;2026-04-11;Vikingur 2;Fuglafjordur;2;2;
Faroe Islands;1. Deild;2026;6;2026-04-19;B36 Torshavn 2;Hoyvik;3;3;
Faroe Islands;1. Deild;2026;6;2026-04-19;HB Torshavn 2;Sandur;1;2;
Faroe Islands;1. Deild;2026;6;2026-04-19;TB Tvoroyri;Vikingur 2;2;0;
Faroe Islands;1. Deild;2026;7;2026-04-25;FC Suduroy;B36 Torshavn 2;7;2;
Faroe Islands;1. Deild;2026;7;2026-04-25;Fuglafjordur;TB Tvoroyri;1;1;
Faroe Islands;1. Deild;2026;7;2026-04-25;Hoyvik;HB Torshavn 2;0;4;
Faroe Islands;1. Deild;2026;7;2026-04-25;Runavik 2;Sandur;0;1;
Faroe Islands;1. Deild;2026;7;2026-04-25;Vikingur 2;Streymur 2;4;1;
Faroe Islands;1. Deild;2026;8;2026-05-02;Sandur;TB Tvoroyri;4;0;
Faroe Islands;1. Deild;2026;8;2026-05-03;FC Suduroy;Hoyvik;6;2;
Faroe Islands;1. Deild;2026;8;2026-05-03;Vikingur 2;Runavik 2;2;1;
Faroe Islands;1. Deild;2026;9;2026-05-09;HB Torshavn 2;Vikingur 2;0;1;
Faroe Islands;1. Deild;2026;9;2026-05-09;TB Tvoroyri;FC Suduroy;1;4;
Faroe Islands;1. Deild;2026;10;2026-05-16;B36 Torshavn 2;Streymur 2;1;2;
Faroe Islands;1. Deild;2026;10;2026-05-16;FC Suduroy;Fuglafjordur;1;4;
Faroe Islands;1. Deild;2026;10;2026-05-16;Runavik 2;HB Torshavn 2;2;0;
Faroe Islands;1. Deild;2026;10;2026-05-17;Vikingur 2;TB Tvoroyri;2;2;
Faroe Islands;1. Deild;2026;10;2026-05-18;Sandur;Hoyvik;5;1;
Faroe Islands;1. Deild;2026;11;2026-05-23;B36 Torshavn 2;Vikingur 2;0;3;
Faroe Islands;1. Deild;2026;11;2026-05-23;HB Torshavn 2;Fuglafjordur;1;1;
Faroe Islands;1. Deild;2026;11;2026-05-23;Streymur 2;Runavik 2;1;2;
Faroe Islands;1. Deild;2026;11;2026-05-23;TB Tvoroyri;Hoyvik;3;1;
Faroe Islands;1. Deild;2026;11;2026-05-25;Sandur;FC Suduroy;1;0;
Faroe Islands;1. Deild;2026;12;2026-05-29;Streymur 2;HB Torshavn 2;1;1;
Faroe Islands;1. Deild;2026;12;2026-05-30;Fuglafjordur;Sandur;1;2;
Faroe Islands;1. Deild;2026;12;2026-05-31;Hoyvik;Runavik 2;0;3;
Faroe Islands;1. Deild;2026;12;2026-05-31;TB Tvoroyri;B36 Torshavn 2;0;3;
Faroe Islands;1. Deild;2026;12;2026-05-31;Vikingur 2;FC Suduroy;3;2;
Faroe Islands;1. Deild;2026;13;2026-06-12;Sandur;Vikingur 2;5;0;
Faroe Islands;1. Deild;2026;13;2026-06-13;B36 Torshavn 2;Fuglafjordur;0;4;
Faroe Islands;1. Deild;2026;13;2026-06-13;HB Torshavn 2;FC Suduroy;2;0;
Faroe Islands;1. Deild;2026;13;2026-06-13;Hoyvik;Streymur 2;4;0;
Faroe Islands;1. Deild;2026;13;2026-06-13;Runavik 2;TB Tvoroyri;2;1;
Faroe Islands;1. Deild;2026;14;2026-06-19;FC Suduroy;TB Tvoroyri;2;2;
Faroe Islands;1. Deild;2026;14;2026-06-19;Fuglafjordur;Runavik 2;1;1;
Faroe Islands;1. Deild;2026;14;2026-06-20;B36 Torshavn 2;Sandur;1;2;
Faroe Islands;1. Deild;2026;14;2026-06-20;HB Torshavn 2;Hoyvik;0;1;
Faroe Islands;1. Deild;2026;14;2026-06-21;Streymur 2;Vikingur 2;1;6;
Faroe Islands;1. Deild;2026;15;2026-06-27;Hoyvik;Fuglafjordur;1;2;
Faroe Islands;1. Deild;2026;15;2026-06-27;Runavik 2;B36 Torshavn 2;0;1;
Faroe Islands;1. Deild;2026;15;2026-06-27;Streymur 2;FC Suduroy;0;2;
Faroe Islands;1. Deild;2026;15;2026-06-27;Vikingur 2;HB Torshavn 2;3;1;
Faroe Islands;1. Deild;2026;15;2026-06-30;TB Tvoroyri;Sandur;1;6;
